id_evento,fonte,objeto,id_objeto,nome_host,horario,ns,id_evento_resolvido,horario_resolvido,ns_resolvido,id_correlacao,id_usuario,descricao,reconhecido,severidade,id_evento_causa,dados_operacao,reconhecimentos,dados_supressao,supresso,tags
5532001,0,0,302511,BRUX0477,2024-06-17 15:08:47,868381912,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl390: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.3839 %),[],[],0,[]
5532000,0,0,302452,BRUX0477,2024-06-17 15:08:48,168420991,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl444: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.2738 %),[],[],0,[]
5531999,0,0,302451,BRUX0477,2024-06-17 15:08:47,868280171,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl445: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.9046 %),[],[],0,[]
5531998,0,0,302392,BRUX0477,2024-06-17 15:08:48,167927064,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl499: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.5956 %),[],[],0,[]
5531997,0,0,302391,BRUX0477,2024-06-17 15:08:47,867786514,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl50: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.5324 %),[],[],0,[]
5531996,0,0,302332,BRUX0477,2024-06-17 15:08:48,167455451,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl553: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.5943 %),[],[],0,[]
5531995,0,0,302331,BRUX0477,2024-06-17 15:08:47,867652585,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl554: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.9 %),[],[],0,[]
5531994,0,0,302272,BRUX0477,2024-06-17 15:08:48,166724739,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl608: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.6681 %),[],[],0,[]
5531993,0,0,302271,BRUX0477,2024-06-17 15:08:47,867343802,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl609: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.1884 %),[],[],0,[]
5531975,0,0,302810,BRUX0477,2024-06-17 15:08:46,649733474,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl119: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.8833 %),[],[],0,[]
5531974,0,0,302630,BRUX0477,2024-06-17 15:08:46,645922910,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl282: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.3652 %),[],[],0,[]
5531973,0,0,302570,BRUX0477,2024-06-17 15:08:46,645426437,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl337: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.1399 %),[],[],0,[]
5531972,0,0,302390,BRUX0477,2024-06-17 15:08:46,638307943,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl500: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.4538 %),[],[],0,[]
5531971,0,0,302330,BRUX0477,2024-06-17 15:08:46,638112862,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl555: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (98.7466 %),[],[],0,[]
5531970,0,0,302270,BRUX0477,2024-06-17 15:08:46,637825658,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl61: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9818 %),[],[],0,[]
5531968,0,0,301523,BRUX0823,2024-06-17 15:08:46,599890486,0,1969-12-31 21:00:00,0,0,0,/opt/OAG: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.2176 %),[],[],0,[]
5531938,0,0,302809,BRUX0477,2024-06-17 15:08:45,320464528,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl12: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.3838 %),[],[],0,[]
5531937,0,0,302749,BRUX0477,2024-06-17 15:08:45,319437375,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl174: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9199 %),[],[],0,[]
5531936,0,0,302748,BRUX0477,2024-06-17 15:08:44,934095999,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl175: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.9199 %),[],[],0,[]
5531935,0,0,302689,BRUX0477,2024-06-17 15:08:45,318982514,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl229: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.1453 %),[],[],0,[]
5531934,0,0,302688,BRUX0477,2024-06-17 15:08:44,933683084,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl23: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (97.4424 %),[],[],0,[]
5531933,0,0,302629,BRUX0477,2024-06-17 15:08:45,318487700,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl283: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.5242 %),[],[],0,[]
5531932,0,0,302628,BRUX0477,2024-06-17 15:08:44,929661052,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl284: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (95.9277 %),[],[],0,[]
5531931,0,0,302569,BRUX0477,2024-06-17 15:08:45,317953289,0,1969-12-31 21:00:00,0,0,0,/db/TAOL1/oravl338: Disk space is critically low (used > 95%),0,High,0,Space used: *UNKNOWN* of *UNKNOWN* (96.8416 %),[],[],0,[]
